step,exact,kimi,srd,srd_f
374,4.76903,4.75332,4.79735,4.79545
375,4.80341,4.78718,4.82706,4.86074
376,4.78744,4.76209,4.80742,4.88177
377,4.75397,4.75313,4.80127,4.80136
378,4.78141,4.78293,4.8144,4.81915
379,4.75805,4.74751,4.78699,4.82988
380,4.83167,4.83298,4.87436,4.87833
381,4.8343,4.82504,4.87502,4.85698
382,4.77519,4.77392,4.8136,4.8054
383,4.79901,4.79275,4.82775,4.8162
384,4.7913,4.78273,4.81568,4.8103
385,4.79714,4.78477,4.82099,4.81395
386,4.76414,4.76113,4.79299,4.7992
387,4.81398,4.8084,4.83967,4.82936
388,4.80191,4.7966,4.82553,4.81794
389,4.82298,4.81229,4.84014,4.82933
390,4.76629,4.76477,4.83259,4.79169
391,4.77839,4.7611,4.79137,4.78677
392,4.76788,4.75803,4.80252,4.77657
393,4.79789,4.79601,4.82382,4.82197
394,4.78262,4.80141,4.81932,4.81371
395,4.81414,4.80153,4.83327,4.81313
396,4.75762,4.76263,4.80963,4.7881
397,4.80609,4.80526,4.84451,4.82787
398,4.77642,4.80065,4.82698,4.80385
399,4.80264,4.80321,4.83934,4.81698
400,4.79047,4.78559,4.83397,4.81479
401,4.7836,4.78282,4.81928,4.80416
402,4.79642,4.80482,4.83989,4.82579
403,4.7765,4.74397,4.78231,4.77111
404,4.76215,4.76442,4.79717,4.78704
405,4.76088,4.75468,4.79891,4.77946
406,4.77496,4.77721,4.80409,4.78364
407,4.77636,4.77449,4.80684,4.79522
408,4.78851,4.77523,4.81244,4.80018
409,4.79664,4.78647,4.8162,4.79433
410,4.78323,4.78099,4.82132,4.8014
411,4.77912,4.77875,4.81711,4.79035
412,4.78902,4.78656,4.81687,4.79685
413,4.79418,4.78892,4.83448,4.82062
414,4.78944,4.79328,4.80148,4.77321
415,4.77566,4.7722,4.81279,4.79456
416,4.76249,4.77787,4.80393,4.78209
417,4.77732,4.75134,4.80164,4.77639
418,4.79829,4.81057,4.87074,4.83003
419,4.76761,4.76175,4.80165,4.78143
420,4.75534,4.75957,4.79389,4.77003
421,4.75255,4.73376,4.7798,4.74696
422,4.78444,4.76843,4.80633,4.78619
423,4.75779,4.74326,4.79905,4.76285
424,4.76572,4.76474,4.81241,4.77865
425,4.74804,4.73812,4.7864,4.77842
426,4.75641,4.75529,4.80688,4.77081
427,4.76627,4.76712,4.80817,4.78149
428,4.78756,4.77796,4.8158,4.79563
429,4.76904,4.76896,4.80659,4.78134
430,4.76383,4.76249,4.81294,4.77561
431,4.79697,4.7932,4.82551,4.80796
432,4.76564,4.75457,4.80067,4.77323
433,4.77932,4.77836,4.8149,4.79281
434,4.77992,4.76875,4.80519,4.78377
435,4.77933,4.76646,4.8066,4.77925
436,4.7352,4.73327,4.77408,4.74413
437,4.78029,4.76971,4.80777,4.77821
438,4.83403,4.80745,4.83781,4.82041
439,4.77363,4.75966,4.80393,4.78021
440,4.78253,4.76989,4.81133,4.7807
441,4.73386,4.73836,4.78606,4.74492
442,4.77444,4.75811,4.80044,4.77262
443,4.76345,4.7619,4.80429,4.77208
444,4.76224,4.75402,4.79684,4.76221
445,4.75429,4.74969,4.7873,4.77947
446,4.75014,4.74543,4.79093,4.75071
447,4.76434,4.78199,4.79462,4.76317
448,4.78246,4.78737,4.82559,4.80657
449,4.78526,4.77156,4.82433,4.77659
450,4.76792,4.76211,4.8083,4.7737
451,4.75781,4.7546,4.79575,4.76435
452,4.75126,4.74867,4.79256,4.76653
453,4.78037,4.78005,4.81818,4.78594
454,4.78151,4.77932,4.8229,4.79251
455,4.78992,4.78185,4.81452,4.81285
456,4.78407,4.78481,4.80792,4.80666
457,4.79493,4.77935,4.81166,4.79306
458,4.82126,4.80332,4.82699,4.81714
459,4.82906,4.79589,4.83126,4.80273
460,4.81788,4.80327,4.81975,4.81444
461,4.80074,4.79084,4.82937,4.80354
462,4.8238,4.81518,4.85627,4.84015
463,4.79714,4.78802,4.80265,4.79991
464,4.79077,4.78514,4.80816,4.78804
465,4.79651,4.79055,4.82686,4.79645
466,4.81706,4.80141,4.84622,4.82582
467,4.76357,4.74127,4.7873,4.75575
468,4.80522,4.81115,4.82001,4.83363
469,4.80463,4.79935,4.89138,4.80601
470,4.78352,4.78409,4.80165,4.79631
471,4.81126,4.80799,4.81479,4.81716
472,4.78962,4.78651,4.79587,4.78981
473,4.80314,4.78357,4.80009,4.79065
474,4.76144,4.76468,4.81946,4.76521
475,4.77329,4.76979,4.80849,4.78461
476,4.779,4.77405,4.79818,4.77963
477,4.80234,4.77265,4.79994,4.77896
478,4.78265,4.79166,4.80221,4.79432
479,4.78098,4.78628,4.79864,4.79627
480,4.77637,4.77075,4.79059,4.76996
481,4.74834,4.74887,4.77219,4.74879
482,4.77147,4.77177,4.78115,4.77927
483,4.77856,4.77651,4.80839,4.78338
484,4.77134,4.76898,4.78766,4.77563
485,4.74193,4.73936,4.75359,4.74258
486,4.78446,4.76756,4.80602,4.77037
487,4.78393,4.78247,4.78596,4.79569
488,4.76978,4.7709,4.79739,4.7763
489,4.76918,4.79059,4.7918,4.77309
490,4.79454,4.81642,4.832,4.80588
491,4.77584,4.77418,4.79346,4.7815
492,4.77569,4.77759,4.79616,4.77897
493,4.77197,4.76359,4.80032,4.76485
494,4.75779,4.75367,4.77782,4.75592
495,4.77872,4.77062,4.80376,4.77325
496,4.7829,4.76441,4.77937,4.76971
497,4.80421,4.80065,4.80818,4.80871
498,4.7657,4.7617,4.76699,4.77221
499,4.7554,4.76594,4.75877,4.75047
500,4.7671,4.76971,4.77564,4.76728
501,4.78812,4.79149,4.79295,4.79012
502,4.77806,4.78038,4.78942,4.78467
503,4.7758,4.76603,4.77312,4.78326
504,4.74792,4.74312,4.74753,4.74343
505,4.75639,4.76511,4.76957,4.76736
506,4.77185,4.76954,4.77551,4.77248
507,4.76038,4.76266,4.77435,4.76148
508,4.78362,4.73915,4.74082,4.74076
509,4.76211,4.74851,4.76818,4.76262
510,4.76402,4.76625,4.77418,4.77833
511,4.76562,4.76252,4.77522,4.76502
512,4.79372,4.76996,4.76276,4.76102
513,4.76574,4.76471,4.77675,4.76924
514,4.74546,4.74214,4.74633,4.74411
515,4.79233,4.7888,4.8002,4.79521
516,4.76333,4.75705,4.76311,4.76573
517,4.75574,4.74806,4.75688,4.76147
518,4.76214,4.7575,4.76842,4.76509
519,4.75034,4.75278,4.7621,4.75746
520,4.77685,4.77504,4.78093,4.77733
521,4.79554,4.77603,4.78315,4.79439
522,4.77777,4.78084,4.79412,4.78822
523,4.75586,4.75899,4.75888,4.75675
524,4.75683,4.74951,4.76308,4.76238
525,4.77542,4.77312,4.78455,4.78671
526,4.75531,4.75472,4.77116,4.77359
527,4.75228,4.74544,4.75233,4.75017
528,4.76132,4.75541,4.76417,4.75265
529,4.75878,4.7531,4.76637,4.76105
530,4.79216,4.78914,4.79866,4.79021
531,4.82922,4.82903,4.83867,4.83632
532,4.78532,4.78687,4.79309,4.78813
533,4.80356,4.79996,4.80815,4.80831
534,4.79408,4.79025,4.80877,4.80199
535,4.80092,4.80038,4.80591,4.80672
536,4.78544,4.78284,4.79682,4.78784
537,4.81575,4.81526,4.82514,4.82031
538,4.78772,4.78147,4.79042,4.78435
539,4.8007,4.79205,4.80527,4.80776
540,4.78572,4.77143,4.79397,4.78285
541,4.76929,4.76763,4.78859,4.77039
542,4.78007,4.76579,4.78014,4.76948
543,4.77963,4.77652,4.79482,4.79142
544,4.80877,4.788,4.79456,4.78981
545,4.81496,4.80676,4.82132,4.81689
546,4.77003,4.77565,4.77857,4.77621
547,4.75127,4.7486,4.76153,4.74615
548,4.80597,4.78417,4.78915,4.78289
549,4.75642,4.75974,4.76474,4.77211
550,4.74908,4.74661,4.74872,4.75096
551,4.79761,4.78521,4.79277,4.7881
552,4.79907,4.78163,4.79533,4.78598
553,4.79617,4.77256,4.78513,4.7733
554,4.78958,4.78241,4.78928,4.79289
555,4.77071,4.77143,4.78199,4.78585
556,4.74266,4.73758,4.75304,4.74823
557,4.76636,4.75208,4.76254,4.7716
558,4.78531,4.78555,4.78599,4.78479
559,4.75016,4.74567,4.74729,4.75682
560,4.78681,4.7771,4.78518,4.78861
561,4.7651,4.74612,4.75241,4.75357
562,4.78562,4.78472,4.78586,4.79444
563,4.7493,4.73229,4.73739,4.74539
564,4.76193,4.76235,4.76734,4.76764
565,4.76599,4.76458,4.76599,4.77114
566,4.77349,4.77519,4.77802,4.77329
567,4.76234,4.76331,4.76576,4.76206
568,4.75166,4.75561,4.75644,4.75477
569,4.77143,4.77143,4.77313,4.77328
570,4.74991,4.74281,4.74727,4.74323
571,4.77895,4.78232,4.78005,4.78226
