step,exact,kimi,srd,srd_f
286,4.82693,4.74623,4.83712,4.83532
287,4.75216,4.66059,4.75817,4.75581
288,4.7594,4.67631,4.76782,4.76493
289,4.82486,4.69622,4.78818,4.78948
290,4.82797,4.7393,4.83442,4.8457
291,4.814,4.74108,4.82082,4.81714
292,4.80734,4.72838,4.80832,4.81394
293,4.80742,4.7489,4.82326,4.82154
294,4.81412,4.7636,4.86151,4.86607
295,4.76906,4.69937,4.78239,4.78868
296,4.85197,4.7963,4.86728,4.87277
297,4.80067,4.75003,4.83665,4.84873
298,4.77478,4.713,4.80407,4.81369
299,4.86956,4.70573,4.79687,4.80987
300,4.81852,4.72791,4.81401,4.84079
301,4.77204,4.71411,4.80898,4.80642
302,4.7714,4.71647,4.82692,4.8134
303,4.78646,4.72457,4.80003,4.77829
304,4.79895,4.73947,4.8159,4.8042
305,4.77185,4.6686,4.74879,4.7571
306,4.78078,4.74119,4.82204,4.81652
307,4.7624,4.69423,4.7795,4.79579
308,4.73263,4.68586,4.7777,4.76943
309,4.74327,4.70256,4.80314,4.80302
310,4.86126,4.79691,4.86775,4.89103
311,4.76297,4.70881,4.83865,4.82426
312,4.70157,4.63619,4.73462,4.72849
313,4.77259,4.73688,4.81373,4.81313
314,4.80367,4.74774,4.82504,4.81539
315,4.80478,4.78824,4.86625,4.86607
316,4.77307,4.73815,4.81005,4.80484
317,4.75434,4.74203,4.8809,4.81552
318,4.78388,4.74933,4.83298,4.83568
319,4.78229,4.75989,4.84031,4.85113
320,4.72768,4.70485,4.78829,4.78489
321,4.82363,4.77663,4.863,4.8669
322,4.76791,4.73399,4.81575,4.81254
323,4.78313,4.74092,4.82981,4.82522
324,4.71468,4.69489,4.77531,4.78434
325,4.76134,4.7437,4.82724,4.82855
326,4.79787,4.76925,4.8617,4.8578
327,4.74937,4.71255,4.80363,4.80038
328,4.7562,4.72285,4.81835,4.81397
329,4.72897,4.69946,4.80843,4.80205
330,4.80632,4.76619,4.84749,4.94382
331,4.74338,4.72629,4.8188,4.81735
332,4.75639,4.73266,4.82509,4.8551
333,4.73846,4.71982,4.80405,4.83479
334,4.71285,4.6898,4.77923,4.77906
335,4.73539,4.7135,4.85296,4.83036
336,4.72449,4.69281,4.77845,4.82784
337,4.72703,4.7056,4.8024,4.79297
338,4.72309,4.71022,4.79829,4.82175
339,4.72452,4.70571,4.79478,4.79721
340,4.76522,4.7388,4.82658,4.82934
341,4.82166,4.76585,4.84218,4.83966
342,4.76953,4.73905,4.82558,4.81733
343,4.76957,4.71965,4.81135,4.80852
344,4.74048,4.74978,4.82513,4.81865
345,4.76209,4.72815,4.81046,4.79852
346,4.76542,4.75605,4.82872,4.82576
347,4.71323,4.66999,4.76463,4.75202
348,4.75901,4.7288,4.80978,4.80463
349,4.79031,4.74834,4.83288,4.82212
350,4.7843,4.76154,4.84536,4.84182
351,4.73144,4.71734,4.81255,4.80852
352,4.77465,4.73829,4.82,4.81486
353,4.78913,4.77796,4.86423,4.85566
354,4.77257,4.75145,4.83092,4.81882
355,4.74298,4.72234,4.81118,4.8016
356,4.72355,4.68805,4.7838,4.80589
357,4.76959,4.73299,4.80825,4.80909
358,4.74813,4.73171,4.81606,4.79716
359,4.73865,4.72292,4.80552,4.78227
360,4.73787,4.71151,4.79743,4.80175
361,4.70069,4.67953,4.77782,4.75524
362,4.74287,4.72571,4.81989,4.80709
363,4.70659,4.69292,4.78524,4.75911
364,4.69224,4.6768,4.76369,4.75913
365,4.75065,4.72297,4.81227,4.78445
366,4.73621,4.70222,4.79603,4.75384
367,4.74299,4.73056,4.82176,4.76722
368,4.7466,4.72569,4.8102,4.79518
369,4.78814,4.72029,4.80579,4.77604
370,4.71971,4.69095,4.78669,4.75564
371,4.6831,4.68858,4.78504,4.72898
372,4.75006,4.73011,4.81492,4.77377
373,4.70791,4.68885,4.76754,4.73217
374,4.68827,4.68988,4.77302,4.73418
375,4.73704,4.72107,4.80634,4.77167
376,4.69196,4.69211,4.78574,4.75957
377,4.76998,4.76823,4.86198,4.80251
378,4.74008,4.74149,4.82824,4.76483
379,4.75396,4.75645,4.83685,4.77953
380,4.75304,4.74633,4.83465,4.76652
381,4.76668,4.73591,4.81051,4.80402
382,4.72367,4.71077,4.79616,4.77415
383,4.72951,4.71306,4.80024,4.7341
384,4.81611,4.78861,4.8593,4.83837
385,4.73635,4.71516,4.80537,4.77604
386,4.72403,4.7038,4.79348,4.72915
387,4.73004,4.71859,4.80376,4.74967
388,4.69325,4.68051,4.77899,4.72168
389,4.71255,4.69831,4.80015,4.74387
390,4.72617,4.71148,4.79453,4.73474
391,4.71106,4.68928,4.77702,4.72258
392,4.74408,4.72545,4.81525,4.79436
393,4.7561,4.73499,4.81852,4.74969
394,4.68355,4.67867,4.76405,4.70018
395,4.74328,4.72598,4.81326,4.75343
396,4.80574,4.73067,4.82346,4.76756
397,4.68946,4.67333,4.77958,4.67981
398,4.73757,4.7149,4.80425,4.75589
399,4.7617,4.73931,4.82765,4.76376
400,4.61432,4.62013,4.71599,4.62789
401,4.73061,4.71544,4.81345,4.73972
402,4.72221,4.69692,4.78921,4.73581
403,4.77513,4.7602,4.83671,4.79322
404,4.74061,4.70998,4.79628,4.72095
405,4.72525,4.71017,4.81254,4.73399
406,4.70526,4.68774,4.78597,4.69856
407,4.77366,4.74919,4.83217,4.79964
408,4.74275,4.72854,4.82163,4.76118
409,4.75259,4.7343,4.82398,4.7527
410,4.70345,4.69692,4.78175,4.72979
411,4.7413,4.72666,4.81982,4.76251
412,4.7139,4.70339,4.80337,4.72055
413,4.72268,4.72615,4.82092,4.74655
414,4.73124,4.72149,4.81507,4.73827
415,4.76488,4.73735,4.82359,4.78542
416,4.74543,4.72251,4.81849,4.74387
417,4.67683,4.67559,4.77106,4.6793
418,4.74249,4.72818,4.81134,4.74567
419,4.71463,4.71128,4.80607,4.72422
420,4.70925,4.7028,4.79715,4.71311
421,4.66957,4.6668,4.76639,4.67899
422,4.75984,4.75219,4.83859,4.77816
423,4.73536,4.7199,4.81007,4.73983
424,4.72642,4.70715,4.79551,4.7441
425,4.73904,4.7389,4.82194,4.76291
426,4.73053,4.71973,4.79546,4.74352
427,4.729,4.71346,4.8074,4.7292
428,4.68513,4.68056,4.78373,4.68552
429,4.69782,4.68532,4.77218,4.70396
430,4.69696,4.69401,4.77373,4.71506
431,4.74843,4.74214,4.82369,4.758
432,4.73027,4.72311,4.81015,4.73765
433,4.67963,4.67213,4.76661,4.69634
434,4.69383,4.6863,4.77885,4.70233
435,4.74968,4.74116,4.82848,4.76051
436,4.78567,4.76786,4.84387,4.79957
437,4.77656,4.7618,4.85632,4.79146
438,4.79977,4.78124,4.86145,4.80047
439,4.742,4.74111,4.8365,4.76711
440,4.7182,4.7063,4.7956,4.72663
441,4.68047,4.66914,4.76352,4.68361
442,4.70788,4.69899,4.79044,4.70533
443,4.69756,4.68793,4.78768,4.70162
444,4.75046,4.71436,4.80415,4.72772
445,4.70577,4.71144,4.80273,4.70962
446,4.73493,4.70944,4.80274,4.71659
447,4.70934,4.70647,4.80286,4.71929
448,4.7117,4.71472,4.79695,4.72248
449,4.72715,4.72135,4.8087,4.74834
450,4.7019,4.68913,4.77932,4.704
451,4.71753,4.7102,4.79772,4.72109
452,4.746,4.75075,4.844,4.76363
453,4.77935,4.76302,4.84762,4.77405
454,4.76282,4.71598,4.79768,4.73299
455,4.73857,4.72523,4.80751,4.74603
456,4.73417,4.72083,4.8069,4.74669
457,4.70631,4.69692,4.79254,4.70911
458,4.78495,4.71459,4.80423,4.72515
459,4.7446,4.70415,4.79161,4.71331
460,4.7654,4.70584,4.79665,4.71573
461,4.76984,4.72595,4.81034,4.73942
462,4.77544,4.73527,4.82488,4.75358
463,4.85119,4.74175,4.8257,4.75964
464,4.72418,4.69318,4.78395,4.69732
465,4.7995,4.69561,4.78653,4.70257
466,4.77319,4.73093,4.82427,4.7359
467,4.72684,4.72305,4.80684,4.73259
468,4.73772,4.72769,4.81566,4.73967
469,4.7304,4.7055,4.80195,4.71005
470,4.75328,4.71018,4.81178,4.71319
471,4.78769,4.75612,4.8319,4.76542
472,4.69182,4.65874,4.75017,4.67647
473,4.73386,4.69906,4.7979,4.7067
474,4.71464,4.70506,4.79354,4.70967
475,4.74232,4.69599,4.78659,4.69894
476,4.74054,4.69771,4.79438,4.70764
477,4.72585,4.72447,4.8182,4.74235
478,4.74099,4.69927,4.79837,4.70252
479,4.71523,4.67449,4.7571,4.6904
480,4.77121,4.72022,4.81111,4.73336
481,4.71134,4.6994,4.78379,4.7162
482,4.73552,4.7129,4.79921,4.7138
483,4.74854,4.70029,4.78671,4.70744
484,4.70142,4.67068,4.77756,4.67529
485,4.74237,4.7238,4.81463,4.73479
486,4.73488,4.69736,4.78964,4.70099
487,4.66665,4.64701,4.73951,4.65129
488,4.69935,4.68114,4.77181,4.6936
489,4.74131,4.73087,4.82889,4.74849
490,4.72841,4.69891,4.78934,4.70708
491,4.72734,4.71566,4.80305,4.73266
492,4.71763,4.70657,4.79812,4.71148
493,4.72034,4.69976,4.79059,4.71526
494,4.73726,4.6946,4.77916,4.70577
495,4.72432,4.72541,4.80808,4.72994
496,4.7365,4.71626,4.80223,4.72921
497,4.72859,4.71815,4.80637,4.72276
498,4.72158,4.71125,4.80608,4.73054
499,4.71432,4.70905,4.79341,4.70893
500,4.70187,4.69221,4.77333,4.7055
501,4.69476,4.65917,4.75383,4.6643
502,4.70364,4.68909,4.76893,4.69837
503,4.71817,4.70863,4.80178,4.70176
504,4.73359,4.71728,4.80387,4.72779
505,4.70501,4.7008,4.80013,4.70768
506,4.72383,4.71872,4.80411,4.72708
507,4.68287,4.66631,4.75802,4.67294
508,4.70361,4.6774,4.76271,4.6905
509,4.78801,4.73545,4.82313,4.74065
510,4.77504,4.76597,4.8517,4.76902
511,4.6978,4.68389,4.76939,4.68609
512,4.74204,4.72776,4.81473,4.74074
513,4.70796,4.68196,4.77195,4.69403
514,4.77789,4.76693,4.85076,4.77278
515,4.71645,4.70493,4.78669,4.71414
516,4.74541,4.72892,4.80342,4.73611
517,4.71738,4.71316,4.78754,4.70855
518,4.77049,4.75017,4.82472,4.77022
519,4.73936,4.7281,4.81407,4.73791
520,4.73473,4.72555,4.81229,4.73933
521,4.73834,4.73728,4.81193,4.73841
522,4.70292,4.68502,4.77724,4.6938
523,4.75089,4.72946,4.80924,4.74851
524,4.73973,4.72727,4.80627,4.74196
525,4.7163,4.70778,4.78673,4.71874
526,4.74043,4.71499,4.80053,4.72481
527,4.75964,4.74855,4.83115,4.74842
528,4.69461,4.69746,4.78482,4.70251
529,4.7151,4.69781,4.78354,4.70207
530,4.72748,4.71581,4.79842,4.7176
531,4.72756,4.70047,4.77751,4.70817
532,4.7279,4.71593,4.80033,4.72764
533,4.69263,4.68877,4.77334,4.69214
534,4.69289,4.68495,4.78238,4.69333
535,4.76712,4.74861,4.82885,4.75962
536,4.76974,4.72343,4.79641,4.73715
537,4.72063,4.6976,4.78006,4.69811
538,4.75346,4.73364,4.80137,4.73803
