step,exact,kimi,srd,srd_f
401,4.69869,4.69584,4.6978,4.69979
402,4.70254,4.69934,4.69989,4.70131
403,4.69806,4.69784,4.6988,4.69955
404,4.69341,4.6916,4.694,4.69543
405,4.6731,4.67026,4.67177,4.67212
406,4.6941,4.68744,4.69084,4.7062
407,4.72302,4.71812,4.7219,4.72412
408,4.71614,4.71368,4.71622,4.71994
409,4.70519,4.70243,4.70412,4.70577
410,4.68612,4.68135,4.68334,4.68518
411,4.66827,4.66523,4.66604,4.66857
412,4.69206,4.69267,4.69211,4.6942
413,4.68981,4.68641,4.68493,4.68877
414,4.67853,4.67739,4.67591,4.67735
415,4.69793,4.69677,4.69661,4.69986
416,4.69588,4.69552,4.69531,4.69801
417,4.68339,4.68011,4.68204,4.68292
418,4.68324,4.68466,4.68364,4.68637
419,4.69112,4.68882,4.69138,4.6908
420,4.68038,4.67863,4.6825,4.68098
421,4.68686,4.68596,4.68666,4.68716
422,4.68168,4.68086,4.68272,4.6817
423,4.68908,4.68817,4.68917,4.69062
424,4.69364,4.69292,4.69194,4.69174
425,4.6965,4.69402,4.69389,4.69486
426,4.69679,4.69522,4.69447,4.69605
427,4.68385,4.68577,4.68641,4.68693
428,4.69793,4.6967,4.7004,4.70017
429,4.70329,4.70237,4.70281,4.70389
430,4.69654,4.69609,4.69771,4.69751
431,4.71938,4.70593,4.70686,4.70799
432,4.69251,4.69304,4.69402,4.69475
433,4.69947,4.69696,4.69847,4.69971
434,4.68339,4.68463,4.68472,4.68746
435,4.68757,4.68764,4.68942,4.68987
436,4.70413,4.7012,4.70234,4.70379
437,4.68596,4.68445,4.68521,4.68668
438,4.68503,4.68387,4.68449,4.68559
439,4.68658,4.68385,4.68521,4.68647
440,4.68922,4.69064,4.69069,4.69306
441,4.69621,4.69555,4.69522,4.69781
442,4.68889,4.68567,4.68686,4.68994
443,4.67323,4.67247,4.67136,4.67443
444,4.69724,4.69484,4.69435,4.69808
445,4.67682,4.67674,4.67842,4.678
446,4.69196,4.68966,4.69061,4.69222
447,4.68769,4.68728,4.68603,4.68776
448,4.68281,4.68077,4.68201,4.68097
449,4.69748,4.69537,4.69741,4.69756
450,4.70105,4.70011,4.69963,4.70025
451,4.69712,4.69861,4.69628,4.69952
452,4.70605,4.70222,4.70676,4.70644
453,4.68667,4.68736,4.68576,4.68868
454,4.70231,4.70766,4.70315,4.70353
455,4.68095,4.68064,4.68295,4.68244
456,4.65932,4.65984,4.66107,4.66041
457,4.67803,4.67659,4.67812,4.67944
458,4.67529,4.673,4.67608,4.67599
459,4.68419,4.68404,4.68622,4.68672
460,4.69461,4.69335,4.69411,4.69642
461,4.6724,4.69419,4.67159,4.67234
462,4.69386,4.69304,4.69364,4.69596
463,4.65321,4.65241,4.65383,4.6548
464,4.71102,4.71009,4.70949,4.71336
465,4.69013,4.69084,4.69166,4.69352
466,4.69984,4.70147,4.70021,4.70114
467,4.68779,4.70643,4.68912,4.68931
468,4.68543,4.68634,4.68537,4.68475
469,4.6613,4.66114,4.66237,4.66129
470,4.68931,4.69322,4.68879,4.68997
471,4.69845,4.69195,4.69588,4.69946
472,4.68442,4.6818,4.68105,4.68242
473,4.69213,4.69187,4.69259,4.69317
474,4.71112,4.70285,4.70788,4.71056
475,4.69978,4.69875,4.6982,4.69873
476,4.69589,4.69662,4.69377,4.69431
477,4.70023,4.71157,4.69957,4.69904
478,4.69215,4.70652,4.6911,4.69387
479,4.68858,4.68732,4.68807,4.69027
480,4.68966,4.68834,4.68832,4.68834
481,4.66755,4.67956,4.66783,4.6669
482,4.69347,4.69484,4.69367,4.69584
483,4.67809,4.67622,4.67791,4.6785
484,4.68216,4.69358,4.68413,4.68437
485,4.68526,4.68385,4.68272,4.68509
486,4.69441,4.69608,4.6951,4.69465
487,4.677,4.70132,4.67661,4.67916
488,4.68421,4.6821,4.68333,4.68467
489,4.68135,4.68044,4.68216,4.68176
490,4.68919,4.69069,4.68653,4.68894
491,4.6857,4.692,4.68499,4.684
492,4.68964,4.68733,4.69387,4.69104
493,4.68393,4.6867,4.68334,4.68545
494,4.70121,4.71115,4.70151,4.70244
495,4.69008,4.69217,4.6913,4.69273
496,4.69023,4.69064,4.69124,4.69218
497,4.69164,4.69067,4.69152,4.69205
498,4.68957,4.69349,4.68907,4.691
499,4.70106,4.70058,4.69928,4.70034
500,4.69557,4.69185,4.69581,4.69473
501,4.68508,4.68802,4.68478,4.68541
502,4.6884,4.68692,4.68905,4.68953
503,4.68623,4.68562,4.6851,4.68639
504,4.69267,4.69067,4.69229,4.69402
505,4.69013,4.68982,4.69118,4.69048
506,4.68105,4.68087,4.67902,4.68053
507,4.68947,4.7063,4.69027,4.6911
508,4.67888,4.68004,4.67812,4.67884
509,4.6776,4.67865,4.67854,4.68054
510,4.68312,4.68391,4.68262,4.68311
511,4.69128,4.68792,4.69128,4.69332
512,4.67996,4.68739,4.67917,4.67961
513,4.68208,4.67921,4.68063,4.68418
514,4.69776,4.7118,4.69776,4.69745
515,4.69568,4.69381,4.69776,4.69627
516,4.6998,4.69776,4.69992,4.70028
517,4.69244,4.68967,4.69053,4.69174
518,4.68859,4.68771,4.68746,4.68729
519,4.68315,4.68057,4.68368,4.68264
520,4.70483,4.7119,4.70426,4.70475
521,4.69642,4.70541,4.69774,4.69589
522,4.67452,4.67642,4.67498,4.67505
523,4.6898,4.68942,4.69139,4.6913
524,4.68876,4.6884,4.68907,4.69019
525,4.66994,4.66887,4.67106,4.67166
526,4.68738,4.68819,4.6874,4.68807
527,4.68394,4.68548,4.68773,4.68582
528,4.68538,4.6871,4.68461,4.68512
529,4.68952,4.69037,4.69205,4.69149
530,4.70121,4.69139,4.69212,4.69337
531,4.69633,4.69625,4.69562,4.69563
532,4.68272,4.68219,4.68427,4.68356
533,4.67296,4.67284,4.67287,4.67387
534,4.68551,4.68397,4.68416,4.68685
535,4.66872,4.67133,4.6686,4.66961
536,4.67822,4.67709,4.67829,4.68026
537,4.6982,4.6988,4.70042,4.7006
538,4.70496,4.70372,4.70436,4.70434
539,4.67928,4.67901,4.67815,4.67908
540,4.68773,4.6883,4.68776,4.68887
541,4.68156,4.68265,4.68028,4.68229
542,4.68011,4.68092,4.67992,4.67989
543,4.68606,4.68552,4.68584,4.68583
544,4.70307,4.70163,4.70167,4.70222
545,4.68114,4.67931,4.67938,4.68056
546,4.68559,4.6851,4.68443,4.68514
547,4.69649,4.69656,4.69639,4.69839
548,4.70151,4.70782,4.70059,4.70203
549,4.67326,4.67142,4.67192,4.67175
550,4.67468,4.67321,4.67442,4.6749
551,4.69357,4.69303,4.69498,4.6943
552,4.68216,4.683,4.68385,4.68396
553,4.69067,4.69288,4.69247,4.69382
554,4.69157,4.69026,4.6902,4.69099
555,4.70155,4.70264,4.70011,4.7032
556,4.67815,4.68292,4.68126,4.68229
557,4.66564,4.66583,4.66561,4.66692
558,4.70164,4.6891,4.68946,4.69201
559,4.69241,4.694,4.69309,4.69384
560,4.68843,4.68697,4.68677,4.68783
561,4.6767,4.67584,4.67509,4.67579
562,4.69578,4.69512,4.69497,4.6957
563,4.69404,4.70095,4.69027,4.69139
564,4.7057,4.69628,4.69513,4.6976
565,4.68696,4.68561,4.68714,4.68785
566,4.69039,4.6885,4.68883,4.69032
567,4.67232,4.6678,4.66829,4.6685
568,4.68196,4.68055,4.68118,4.68055
569,4.68995,4.69078,4.69031,4.69109
570,4.69569,4.69613,4.69595,4.69527
571,4.69555,4.696,4.6958,4.69537
572,4.67661,4.67722,4.67676,4.67642
573,4.69174,4.69244,4.6915,4.69344
574,4.67089,4.66966,4.66921,4.67124
575,4.68016,4.68134,4.681,4.68147
576,4.68282,4.68268,4.68253,4.68336
577,4.69647,4.69492,4.69549,4.69578
578,4.67299,4.67167,4.67477,4.6742
579,4.68623,4.68404,4.68269,4.68405
580,4.68206,4.68116,4.68132,4.68151
581,4.7054,4.7064,4.70581,4.70774
582,4.6929,4.69176,4.69033,4.6931
583,4.69388,4.69095,4.69233,4.69248
584,4.68111,4.67968,4.67925,4.68153
585,4.6777,4.67706,4.67719,4.67818
586,4.68612,4.68438,4.68528,4.68643
587,4.69507,4.69398,4.69438,4.69681
588,4.68585,4.68311,4.68442,4.68383
589,4.68317,4.68144,4.68167,4.68045
590,4.68316,4.68234,4.68233,4.68277
591,4.68258,4.68166,4.68203,4.68265
592,4.68448,4.68352,4.68376,4.68504
593,4.69741,4.69469,4.69851,4.6965
594,4.68736,4.68333,4.6857,4.68476
595,4.68582,4.68449,4.68485,4.68543
596,4.68531,4.68344,4.68305,4.68535
597,4.69094,4.69079,4.68935,4.68938
598,4.6769,4.67508,4.67438,4.67567
599,4.69156,4.69033,4.69143,4.69344
600,4.68925,4.6883,4.68956,4.68968
601,4.68403,4.68328,4.6841,4.68795
602,4.68102,4.68346,4.68135,4.68382
603,4.67414,4.6747,4.67412,4.67532
604,4.68467,4.68299,4.6844,4.68499
605,4.69662,4.69489,4.69434,4.6952
606,4.68721,4.68756,4.68759,4.68939
607,4.69386,4.69433,4.69425,4.69473
608,4.69009,4.68162,4.68273,4.68278
609,4.68016,4.68441,4.68011,4.68524
610,4.68297,4.67985,4.6809,4.68127
611,4.6774,4.67605,4.67801,4.67837
612,4.68481,4.68381,4.68474,4.68444
613,4.68022,4.67899,4.6798,4.68085
614,4.68221,4.67979,4.68019,4.68239
615,4.69492,4.69262,4.69247,4.70627
616,4.69287,4.68947,4.69169,4.69058
617,4.68518,4.68403,4.6838,4.68503
618,4.68548,4.6851,4.68515,4.68445
619,4.69298,4.69944,4.69339,4.69345
620,4.6877,4.6891,4.68824,4.68902
621,4.68739,4.69126,4.68659,4.69059
622,4.68725,4.68832,4.68662,4.68832
623,4.69253,4.69439,4.69279,4.6932
624,4.68823,4.68799,4.6877,4.68858
625,4.67313,4.67225,4.67248,4.67179
626,4.69322,4.692,4.69269,4.69314
627,4.68813,4.68725,4.68598,4.68734
628,4.68104,4.679,4.67857,4.68111
629,4.69308,4.69213,4.69285,4.69285
630,4.6907,4.69154,4.68928,4.69052
631,4.69203,4.69146,4.69157,4.69163
632,4.68186,4.67973,4.68096,4.68325
633,4.67287,4.67436,4.67349,4.67274
634,4.68535,4.68643,4.68643,4.68463
