step,exact,kimi,srd,srd_f
390,4.49089,4.48794,4.4897,4.48925
391,4.49688,4.49478,4.49655,4.4955
392,4.47137,4.46926,4.46715,4.4695
393,4.49027,4.48882,4.48946,4.4871
394,4.46782,4.46551,4.46575,4.46416
395,4.45417,4.45578,4.45384,4.45565
396,4.48288,4.48135,4.48356,4.48558
397,4.50985,4.51129,4.50979,4.50969
398,4.47253,4.47811,4.47206,4.47582
399,4.47545,4.47953,4.47581,4.47787
400,4.4945,4.49406,4.49453,4.49407
401,4.47052,4.47092,4.4707,4.4723
402,4.47941,4.47926,4.48008,4.48044
403,4.49131,4.48967,4.48907,4.49167
404,4.46364,4.45956,4.46128,4.46315
405,4.47397,4.47498,4.47585,4.47894
406,4.45632,4.45781,4.4592,4.45698
407,4.46241,4.46344,4.46008,4.4616
408,4.53192,4.53126,4.53287,4.53541
409,4.47001,4.47421,4.47,4.4716
410,4.49566,4.49711,4.49646,4.49771
411,4.48376,4.48169,4.48376,4.48026
412,4.46462,4.46482,4.4656,4.46656
413,4.47999,4.48149,4.48166,4.48265
414,4.4719,4.47086,4.47217,4.47249
415,4.47327,4.4758,4.47416,4.47266
416,4.50755,4.50841,4.50775,4.50423
417,4.47161,4.47508,4.47396,4.47473
418,4.46727,4.46718,4.4689,4.4694
419,4.4602,4.46234,4.46055,4.46302
420,4.46822,4.47254,4.46995,4.46881
421,4.49219,4.49049,4.49202,4.49005
422,4.47326,4.47231,4.47223,4.47393
423,4.48056,4.47899,4.48076,4.4804
424,4.50832,4.50465,4.50444,4.50887
425,4.47485,4.47831,4.47583,4.4787
426,4.47768,4.47914,4.47953,4.47947
427,4.50645,4.5033,4.50331,4.50389
428,4.47697,4.47677,4.47515,4.47682
429,4.4891,4.48774,4.48828,4.49039
430,4.45769,4.45824,4.45826,4.45732
431,4.49053,4.49033,4.49124,4.49134
432,4.50002,4.49976,4.50016,4.49892
433,4.46601,4.46522,4.46394,4.46898
434,4.47919,4.4791,4.47827,4.47898
435,4.46304,4.46239,4.46292,4.46276
436,4.47019,4.4724,4.47206,4.4697
437,4.49894,4.49878,4.49835,4.50255
438,4.48926,4.49272,4.4889,4.48885
439,4.48138,4.47694,4.48089,4.48196
440,4.48156,4.48238,4.48151,4.48256
441,4.50102,4.50013,4.49996,4.49924
442,4.46422,4.46511,4.46515,4.46455
443,4.49001,4.4907,4.48989,4.49085
444,4.48258,4.48133,4.48336,4.48259
445,4.48162,4.48008,4.48495,4.49421
446,4.47036,4.47518,4.47203,4.47307
447,4.46413,4.46457,4.46301,4.46217
448,4.47086,4.47569,4.46962,4.47032
449,4.49649,4.4974,4.49682,4.49567
450,4.48024,4.4785,4.47868,4.50331
451,4.44746,4.44958,4.44592,4.45084
452,4.46032,4.4624,4.46376,4.46204
453,4.46927,4.4675,4.4696,4.46719
454,4.46517,4.46265,4.46214,4.48611
455,4.49713,4.49695,4.49669,4.49869
456,4.4879,4.48682,4.48907,4.48868
457,4.4578,4.45726,4.45787,4.45714
458,4.45966,4.45507,4.4571,4.4575
459,4.50106,4.4991,4.49965,4.50361
460,4.49392,4.49166,4.4943,4.49242
461,4.50125,4.4975,4.49932,4.49958
462,4.49611,4.49349,4.49352,4.49669
463,4.48692,4.48958,4.48704,4.48616
464,4.46833,4.46682,4.46725,4.46881
465,4.46783,4.46855,4.46748,4.4786
466,4.48314,4.48259,4.48372,4.50282
467,4.49062,4.49208,4.49036,4.49241
468,4.47347,4.47628,4.47317,4.47811
469,4.4877,4.48937,4.48717,4.48826
470,4.48625,4.48228,4.48625,4.48704
471,4.46605,4.46571,4.46635,4.46811
472,4.48728,4.48479,4.48606,4.48793
473,4.47685,4.47935,4.47864,4.47872
474,4.47719,4.47647,4.47772,4.47809
475,4.47156,4.47183,4.47105,4.47294
476,4.47743,4.47639,4.47743,4.47702
477,4.46623,4.46565,4.46549,4.46634
478,4.47065,4.47149,4.4706,4.47115
479,4.48069,4.48031,4.48043,4.48187
480,4.4832,4.48572,4.48499,4.48345
481,4.50589,4.50789,4.50754,4.50438
482,4.51844,4.51412,4.51501,4.51514
483,4.48353,4.48197,4.4821,4.47996
484,4.46935,4.46909,4.47182,4.4716
485,4.48986,4.48567,4.48881,4.4873
486,4.47032,4.47073,4.47036,4.4722
487,4.48204,4.47996,4.48146,4.48491
488,4.46505,4.46414,4.46528,4.46669
489,4.47666,4.47426,4.47761,4.47581
490,4.47502,4.47431,4.4762,4.47593
491,4.48826,4.48646,4.48703,4.48689
492,4.48197,4.48262,4.48207,4.48187
493,4.48545,4.48716,4.48506,4.48603
494,4.48535,4.4844,4.48508,4.48653
495,4.47904,4.47872,4.47876,4.48179
496,4.48698,4.48711,4.48493,4.48836
497,4.49037,4.49015,4.48904,4.49061
498,4.47585,4.47513,4.47577,4.47694
499,4.5009,4.50095,4.49821,4.50123
500,4.46719,4.46497,4.46621,4.46935
501,4.46887,4.47107,4.46924,4.47034
502,4.47822,4.47746,4.47814,4.48126
503,4.47668,4.47507,4.47513,4.47606
504,4.48187,4.48159,4.48064,4.48033
505,4.47566,4.47237,4.47507,4.47581
506,4.4634,4.46316,4.46187,4.46073
507,4.47663,4.47401,4.47728,4.4758
508,4.48255,4.48137,4.48368,4.48221
509,4.46258,4.46491,4.46305,4.46217
510,4.47246,4.47269,4.47297,4.47354
511,4.47103,4.47251,4.47227,4.46994
512,4.4741,4.47558,4.47506,4.47431
513,4.48837,4.48669,4.48858,4.48661
514,4.4843,4.48149,4.4843,4.48305
515,4.46502,4.46254,4.46379,4.46506
